
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-29


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1263,1262,1261,1260,1259,1258,1256,1247,1245,1243,1240,1239,1237,1236,1235,1234,1233,1232,1230,1228,1227,1219,1215,1214,1213,1212,1211,1210,1209,1208,1207,1206,1204,1200,1199,1196,1195,1190,1189,1187,1186,1094,1091,1088,1087,1083,1082,1080,1077,1076,1074,1072,1070,1062,1057,1053,1049,1048,1042,1041,1039,1035,1034,1033,1032,1031,1026,1024,1020,1019,1018,1017,1016,1015,1007,1006,1005,1003,1001,999,998,997,996,995,993,992,991,990,989,988,987,985,984,981,978,976,975,974,971
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
15, SRSS, 993, -, 1.0, -, 6.1, 11.6, 0.7, "Northridge-01", 1994, "LA - Fletcher Dr", 6.69, Reverse, 25.66, 27.26, 329.06, 0.1625, 1.0, RSN993_NORTHR_FLE144.AT2, RSN993_NORTHR_FLE234.AT2 , RSN993_NORTHR_FLE-UP.AT2  
16, SRSS, 995, -, 1.0, -, 6.4, 12.0, 2.0, "Northridge-01", 1994, "LA - Hollywood Stor FF", 6.69, Reverse, 19.73, 24.03, 316.46, 0.2, 1.0, RSN995_NORTHR_PEL090.AT2, RSN995_NORTHR_PEL360.AT2 , RSN995_NORTHR_PEL-UP.AT2  
17, SRSS, 996, -, 1.0, -, 5.7, 10.3, 0.9, "Northridge-01", 1994, "LA - N Faring Rd", 6.69, Reverse, 12.42, 20.81, 255.0, 0.1625, 1.0, RSN996_NORTHR_FAR000.AT2, RSN996_NORTHR_FAR090.AT2 , RSN996_NORTHR_FAR-UP.AT2  
18, SRSS, 997, -, 1.0, -, 6.3, 13.1, 0.4, "Northridge-01", 1994, "LA - N Figueroa St", 6.69, Reverse, 30.19, 31.16, 364.91, 0.375, 1.0, RSN997_NORTHR_FIG058.AT2, RSN997_NORTHR_FIG328.AT2 , RSN997_NORTHR_FIG-UP.AT2  
19, SRSS, 998, -, 1.0, -, 5.7, 10.0, 1.4, "Northridge-01", 1994, "LA - N Westmoreland", 6.69, Reverse, 23.4, 26.73, 315.06, 0.2875, 1.0, RSN998_NORTHR_WST000.AT2, RSN998_NORTHR_WST270.AT2 , RSN998_NORTHR_WST-UP.AT2  
20, SRSS, 999, -, 1.0, -, 5.7, 11.3, 1.4, "Northridge-01", 1994, "LA - Obregon Park", 6.69, Reverse, 35.43, 37.36, 349.43, 0.9, 1.0, RSN999_NORTHR_OBR090.AT2, RSN999_NORTHR_OBR360.AT2 , RSN999_NORTHR_OBR-UP.AT2  
21, SRSS, 1001, -, 1.0, -, 6.1, 13.7, 0.7, "Northridge-01", 1994, "LA - S Grand Ave", 6.69, Reverse, 29.52, 33.99, 285.28, 0.375, 1.0, RSN1001_NORTHR_GR2090.AT2, RSN1001_NORTHR_GR2180.AT2 , RSN1001_NORTHR_GR2-UP.AT2  
22, SRSS, 1003, -, 1.0, -, 5.5, 11.6, 1.6, "Northridge-01", 1994, "LA - Saturn St", 6.69, Reverse, 21.17, 27.01, 308.71, 0.1875, 1.0, RSN1003_NORTHR_STN020.AT2, RSN1003_NORTHR_STN110.AT2 , RSN1003_NORTHR_STN-UP.AT2  
23, SRSS, 1005, -, 1.0, -, 7.3, 14.6, 0.5, "Northridge-01", 1994, "LA - Temple & Hope", 6.69, Reverse, 28.82, 31.48, 452.15, 0.2, 1.0, RSN1005_NORTHR_TEM090.AT2, RSN1005_NORTHR_TEM180.AT2 , RSN1005_NORTHR_TEM-UP.AT2  
24, SRSS, 1006, -, 1.0, -, 5.8, 11.3, 1.6, "Northridge-01", 1994, "LA - UCLA Grounds", 6.69, Reverse, 13.8, 22.49, 398.42, 0.16, 1.0, RSN1006_NORTHR_UCL090.AT2, RSN1006_NORTHR_UCL360.AT2 , RSN1006_NORTHR_UCL-UP.AT2  
