
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-29


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1263,1262,1261,1260,1259,1258,1256,1247,1245,1243,1240,1239,1237,1236,1235,1234,1233,1232,1230,1228,1227,1219,1215,1214,1213,1212,1211,1210,1209,1208,1207,1206,1204,1200,1199,1196,1195,1190,1189,1187,1186,1094,1091,1088,1087,1083,1082,1080,1077,1076,1074,1072,1070,1062,1057,1053,1049,1048,1042,1041,1039,1035,1034,1033,1032,1031,1026,1024,1020,1019,1018,1017,1016,1015,1007,1006,1005,1003,1001,999,998,997,996,995,993,992,991,990,989,988,987,985,984,981,978,976,975,974,971
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
2.2,0.10440507,0.2290331,0.0475932,0.04113015,0.02466924,0.02441562,0.03239138,0.1312042,0.07004952,0.07072035,0.14444498,0.15261237,0.16542285,0.12693919,0.05535773,0.04307787,0.05963463,0.06784579,0.08383217,0.08778195,0.04110907,0.06327991,0.03154296,0.07602211,0.12427626,0.06405767,0.21694116,0.03484997,0.05710538,0.02409352,0.0328741,0.0203385,0.03748903,0.04937921,0.08124454,0.07896592,0.10201457,0.05727632,0.03251302,0.08909174,0.0588397,0.10861693,0.01769512,0.25617991,0.45529874,0.09395918,0.04690821,0.14577632,0.01955434,0.0352248,0.0176176,0.0489921,0.04029195,0.3507302,0.11830735,0.22064002,0.09107378,0.4819555,0.03506692,0.08173392,0.04291532,0.07458786,0.21497237,0.14231472,0.0315162,0.18591342,0.07266131,0.16262887,0.12983853,0.20773412,0.08679913,0.10834622,0.21290062,0.22290472,0.06081297,0.0835098,0.16524597,0.14434978,0.04889669,0.10642829,0.02866168,0.22063968,0.10544313,0.05025939,0.08075222,0.10849282,0.0882055,0.05300009,0.16582492,0.13930509,0.08776034,0.13107646,0.14832363,0.04178592,0.1790812,0.04801806,0.1368597,0.06739988,0.10502228,0.09913179,0.21624672,0.10907732
2.4,0.09421622,0.20516816,0.04326547,0.03808207,0.0207534,0.02411215,0.01914809,0.097099,0.06443597,0.07361009,0.11527093,0.15225147,0.18854473,0.1208909,0.04577715,0.03260139,0.04119998,0.07092114,0.0802956,0.07872546,0.03301753,0.0509567,0.0248473,0.06292376,0.1108742,0.05139672,0.191386,0.02821274,0.04958036,0.02417415,0.02638497,0.01527235,0.03783863,0.05025111,0.09072889,0.08457172,0.06875222,0.04630042,0.03902742,0.08600344,0.06753878,0.08588374,0.01508537,0.26686509,0.37456731,0.07602199,0.03500129,0.12971397,0.01993086,0.03237418,0.0153213,0.05452862,0.02499249,0.31727546,0.09724673,0.22575407,0.08385779,0.36766973,0.03879958,0.06984115,0.03406543,0.05108341,0.18313821,0.11155204,0.03146825,0.19849454,0.07336109,0.14715766,0.12174635,0.20700377,0.0588259,0.10297319,0.19351555,0.22760954,0.05979122,0.07835562,0.13828367,0.16213913,0.03640229,0.08778218,0.02683296,0.20058139,0.1014698,0.04644533,0.0650846,0.1184671,0.06840448,0.04208622,0.11698966,0.13585066,0.07555812,0.13731769,0.11133595,0.03812353,0.15671813,0.03871568,0.09824273,0.06468164,0.11332426,0.08639283,0.2316553,0.11388948
2.5,0.08764933,0.18707394,0.04106615,0.03663371,0.01752697,0.02338881,0.01522794,0.09803301,0.06470519,0.07177787,0.11346986,0.13039756,0.1764833,0.11014664,0.03956541,0.02753924,0.03843768,0.06214961,0.08091488,0.07407292,0.03072829,0.04487986,0.02253829,0.05745454,0.10447705,0.05062648,0.16502741,0.02605028,0.05318014,0.02336671,0.02370068,0.01316947,0.03090404,0.0471671,0.08010518,0.07787616,0.05741542,0.04151586,0.03834702,0.06863235,0.06906879,0.08478703,0.01547966,0.23580968,0.34375806,0.06559576,0.03336421,0.09759729,0.01848337,0.02954178,0.01608862,0.05118161,0.02406511,0.29056346,0.08716104,0.20266512,0.07632743,0.3034734,0.03989978,0.06345392,0.03463,0.04672604,0.17675511,0.08764186,0.03188817,0.19530935,0.07094513,0.14817473,0.11735295,0.19889429,0.05469682,0.10010114,0.16611503,0.21023257,0.05466934,0.07151588,0.1516397,0.17622596,0.03386539,0.08319111,0.02737959,0.18142378,0.10734617,0.03648302,0.06224084,0.11831853,0.06931362,0.0423395,0.11388124,0.12485507,0.08166493,0.13517422,0.10269321,0.03718725,0.1570894,0.03465868,0.08541536,0.05839755,0.10634958,0.0848383,0.20493944,0.10872608
2.6,0.08110734,0.16773962,0.03921793,0.03494235,0.01799302,0.02090363,0.01338718,0.09461407,0.05960848,0.06510908,0.11325712,0.10958015,0.15773584,0.09653283,0.03518458,0.02394206,0.03739645,0.05375365,0.07893678,0.0668862,0.0285092,0.04306167,0.02053252,0.04912763,0.09519189,0.05308971,0.13624979,0.02317358,0.04760232,0.02139723,0.02097876,0.01191844,0.02861606,0.04188805,0.06551335,0.0745585,0.04745124,0.03852659,0.03389673,0.05354688,0.06866164,0.08043608,0.01510503,0.18671682,0.28813693,0.05845952,0.02982523,0.08953502,0.01775781,0.03113084,0.01630239,0.04871906,0.02460396,0.26133879,0.07782967,0.1719572,0.06687727,0.24381606,0.03902391,0.0572051,0.03105668,0.04464177,0.17107529,0.09070845,0.02745001,0.19970394,0.07395173,0.16427746,0.11261942,0.17438007,0.05371274,0.10857955,0.14553967,0.18739037,0.04942715,0.06503822,0.15090009,0.1804218,0.03389362,0.08374731,0.02689684,0.16028357,0.09995112,0.03079918,0.06567863,0.1246123,0.06833141,0.04286058,0.10525243,0.12453602,0.09020832,0.1260897,0.10153685,0.03544678,0.15192121,0.03314172,0.07935993,0.05142738,0.09154731,0.0873106,0.19832435,0.09756343
2.8,0.07172476,0.14779516,0.03480792,0.02897953,0.01902753,0.01446744,0.0110288,0.0823255,0.04874681,0.05267706,0.08837569,0.096686,0.11917781,0.0725833,0.0290285,0.02551148,0.03345911,0.04144864,0.06195622,0.04920601,0.02352809,0.03499772,0.01725738,0.03583984,0.06701403,0.0444735,0.09453209,0.02452935,0.03236531,0.01691997,0.01953847,0.0106361,0.02425725,0.03466359,0.04178317,0.06389543,0.04311045,0.03275647,0.02423331,0.04091214,0.06400704,0.06873476,0.01118478,0.12869443,0.19402294,0.05721777,0.02263666,0.0939084,0.01516558,0.02976381,0.01361112,0.03915329,0.02519533,0.1930951,0.06739951,0.16310995,0.05100126,0.17980316,0.0390664,0.04909263,0.02578549,0.04515682,0.15383375,0.10538582,0.02514966,0.25605229,0.0885895,0.19638711,0.12888581,0.1259733,0.05615749,0.09332826,0.12625002,0.14893735,0.04295134,0.05879151,0.14390516,0.15509936,0.03654475,0.08233824,0.02452988,0.14212,0.09466758,0.02797815,0.06933387,0.13320576,0.05887002,0.04178068,0.11729351,0.11763702,0.09095481,0.12886185,0.09649368,0.02879874,0.13575607,0.03081663,0.06188393,0.03832013,0.0864408,0.10284194,0.17788422,0.09098613
3.0,0.0653367,0.137558,0.03103334,0.0246274,0.01672573,0.01005141,0.00977468,0.07056082,0.03809722,0.03898852,0.07881228,0.08183079,0.09437474,0.05661261,0.03007093,0.02395308,0.03195397,0.0374853,0.05868068,0.03777072,0.02034104,0.03016101,0.01490168,0.02584876,0.0549928,0.03548426,0.0705321,0.02336995,0.02707859,0.01514788,0.01969393,0.00934215,0.02044144,0.03330742,0.03250261,0.04718418,0.03813103,0.02577365,0.01884006,0.03332325,0.05454597,0.05841524,0.00837315,0.12691002,0.15810741,0.05549218,0.01870662,0.0869025,0.01097194,0.02628998,0.01080094,0.03499591,0.02167731,0.14896725,0.06544228,0.14575213,0.04624854,0.16016427,0.0316286,0.03963629,0.02398197,0.04777971,0.16389403,0.11076313,0.02486568,0.24007355,0.1124712,0.1683271,0.12531073,0.11442761,0.04626427,0.0958378,0.11962481,0.1453754,0.04269384,0.05220744,0.1284702,0.13488071,0.03538163,0.06312624,0.03032108,0.18298752,0.102405,0.03347765,0.05605549,0.11827255,0.04857788,0.04578518,0.11893451,0.11441746,0.07298829,0.12599752,0.08454125,0.03307863,0.13293094,0.03050818,0.05234008,0.03223553,0.08423314,0.09928117,0.14803506,0.07837448
3.2,0.06093501,0.13020798,0.0285165,0.02067216,0.01365174,0.0116467,0.00767469,0.059198,0.029522,0.02831568,0.06422511,0.06979516,0.08652865,0.04539735,0.03281068,0.02296544,0.02738703,0.03746287,0.05249212,0.02962455,0.01851051,0.02774033,0.01298234,0.02143994,0.04266892,0.03169946,0.05728407,0.02551624,0.02675856,0.01490316,0.01762896,0.00839325,0.01801798,0.03343333,0.02462832,0.03345713,0.03202521,0.02132071,0.01854052,0.02847482,0.0413453,0.05437017,0.00714355,0.11737331,0.13760433,0.04912169,0.01880281,0.06822281,0.00875237,0.0296772,0.00829424,0.03498944,0.02070984,0.12326199,0.06006715,0.12708077,0.04542879,0.14831453,0.02684726,0.03375616,0.01878547,0.0381357,0.16575939,0.10504794,0.02372252,0.19533729,0.11585831,0.13327769,0.12703541,0.10706113,0.04395135,0.11030563,0.1107324,0.14002158,0.04222554,0.05681254,0.13481747,0.11720761,0.02667799,0.06003491,0.03356656,0.19429988,0.08986368,0.03412396,0.05612805,0.12648337,0.05105569,0.04017261,0.12234194,0.10191132,0.06524108,0.14822029,0.07504254,0.03746414,0.13814856,0.03452589,0.04361096,0.02797966,0.10217069,0.10554391,0.1255189,0.09038752
3.4,0.05922896,0.1306262,0.02685579,0.01783766,0.01175508,0.0108543,0.00673185,0.05586362,0.02445693,0.02336866,0.0631464,0.06280827,0.07822314,0.03855962,0.03486441,0.02245938,0.02565115,0.03525933,0.04661537,0.02517674,0.01664267,0.0288186,0.01140178,0.01978529,0.03702772,0.0351896,0.05555257,0.0257122,0.02619949,0.01416258,0.01292768,0.00624402,0.01497921,0.03218178,0.01979329,0.03092943,0.02576817,0.01683941,0.01695033,0.02208458,0.03431199,0.05025132,0.00608298,0.10584363,0.13714785,0.04486213,0.01596402,0.07855802,0.00845087,0.03413254,0.00668548,0.03200711,0.02098515,0.10803353,0.05197604,0.11246551,0.04843598,0.15062981,0.02496511,0.03016182,0.01971606,0.03664428,0.15845682,0.10054981,0.02612332,0.22033389,0.10606671,0.12692337,0.11411436,0.09575125,0.04087403,0.14216739,0.10409023,0.12932856,0.041709,0.06260566,0.15214292,0.10189869,0.02312277,0.07160729,0.03622688,0.1728207,0.0869818,0.03881038,0.06082148,0.12643925,0.04720976,0.03705233,0.11871957,0.09913755,0.06963655,0.15724461,0.07787712,0.03943635,0.1631066,0.03841506,0.0370881,0.02235234,0.10569163,0.09689771,0.10530704,0.09739441
3.5,0.05774609,0.12847384,0.02595557,0.01626001,0.0107965,0.01104728,0.0060935,0.05775037,0.0231635,0.02233132,0.06725794,0.05840411,0.07707985,0.03591664,0.0352122,0.02195782,0.02534155,0.03335755,0.04307538,0.02292852,0.01548147,0.02865736,0.01071773,0.01929362,0.03592845,0.03902776,0.05423378,0.02579184,0.02510091,0.01370099,0.01236296,0.00533396,0.01353058,0.03100573,0.0189049,0.02994478,0.02360141,0.01480398,0.01587979,0.01926799,0.0352606,0.04907003,0.00558489,0.10014795,0.13310771,0.04181346,0.01551718,0.07964225,0.00866648,0.03427059,0.00641365,0.02969517,0.02175397,0.10265415,0.04790367,0.0990454,0.04911292,0.1496783,0.02554888,0.0282452,0.02216237,0.03528724,0.14599538,0.10165275,0.02900401,0.23185497,0.09436875,0.13968205,0.10869342,0.0931048,0.03984478,0.14634693,0.09745978,0.12209399,0.03786566,0.06196766,0.14554469,0.10711448,0.02252702,0.07576587,0.03693722,0.16699899,0.07864203,0.04025817,0.06088515,0.11802782,0.04606187,0.03743386,0.10701704,0.09810219,0.07363565,0.15436107,0.07766166,0.03954601,0.16236808,0.03768422,0.03414257,0.01941905,0.10321531,0.09002381,0.09812143,0.09430702
3.6,0.05655627,0.12914883,0.02476686,0.01524963,0.00986843,0.01153164,0.00530726,0.05715578,0.02232281,0.02113875,0.07189804,0.05470422,0.07265408,0.03342946,0.03518314,0.02107167,0.02474313,0.03117926,0.04110519,0.02143208,0.01454785,0.02912055,0.0100929,0.01867597,0.03408584,0.0416873,0.05145009,0.02783384,0.02225292,0.01303875,0.01212154,0.00473217,0.01333875,0.02962299,0.01935036,0.02946439,0.02182498,0.01297009,0.01493987,0.01716575,0.03707275,0.04734696,0.00494668,0.09742874,0.12999359,0.03880787,0.01515389,0.07843682,0.00901456,0.0345333,0.00622698,0.02870951,0.02279783,0.0953144,0.04437647,0.08548373,0.04873737,0.14559344,0.026571,0.02635697,0.02378035,0.03390534,0.12917502,0.10669101,0.03000513,0.25812412,0.09360698,0.15100118,0.1094944,0.0898836,0.04036544,0.14330627,0.08785622,0.11078039,0.03504665,0.0601157,0.13386115,0.11234067,0.02170031,0.07539837,0.03650223,0.1625625,0.08005731,0.03959765,0.0585572,0.10794043,0.04529299,0.03799026,0.09788773,0.095235,0.07945361,0.17844332,0.07549817,0.03842224,0.15931139,0.03577649,0.0316346,0.01893131,0.09794707,0.08833852,0.0903959,0.08566169
3.8,0.0528144,0.12208492,0.02284771,0.01395574,0.00819707,0.01128532,0.00439073,0.05304962,0.02162326,0.01956606,0.07468306,0.05604024,0.05959274,0.03167365,0.03526557,0.02068232,0.02284606,0.02965206,0.03999618,0.01871243,0.01388563,0.0303595,0.0089973,0.01677068,0.03244762,0.0431368,0.04445944,0.02970582,0.021973,0.01179012,0.0113221,0.00408183,0.01376894,0.02797525,0.02207599,0.02882432,0.01832326,0.01060378,0.01412053,0.01475677,0.03963994,0.03950443,0.00426464,0.09914243,0.11619875,0.0358596,0.01665755,0.06354805,0.00920898,0.03490852,0.00579011,0.02709971,0.02375462,0.07698752,0.04139468,0.06967719,0.04655989,0.13786688,0.02625284,0.02274973,0.02315823,0.03187688,0.09780405,0.12556284,0.02786281,0.24929525,0.10470619,0.14808717,0.09693968,0.09385078,0.04017906,0.11627913,0.08164347,0.10573774,0.02976712,0.0540541,0.11104997,0.11285263,0.01968726,0.0702818,0.0342609,0.15233871,0.07529235,0.03392041,0.05123671,0.0909671,0.04456848,0.03627899,0.0777615,0.08632525,0.09227062,0.19936082,0.07639637,0.03374858,0.13608526,0.0311905,0.02864145,0.02060542,0.08195634,0.08026026,0.07348441,0.07334251
4.0,0.0491974,0.11554241,0.02094801,0.01316819,0.00684099,0.01033834,0.00395863,0.04524314,0.02017434,0.01681138,0.06554466,0.0536018,0.04561113,0.03104014,0.03424713,0.02100432,0.02068524,0.02965421,0.03289503,0.01756257,0.01319079,0.03162184,0.00807366,0.01617204,0.03688364,0.04143723,0.03981225,0.02941638,0.01961845,0.01144463,0.00932404,0.00341315,0.01407505,0.02828183,0.02332148,0.02551464,0.01567506,0.00944899,0.01272565,0.0121663,0.03813345,0.03371729,0.00362561,0.09180218,0.1055366,0.03199208,0.01560238,0.05784422,0.00861635,0.03215643,0.00514292,0.02673622,0.02426411,0.06580132,0.03846623,0.06166542,0.03923407,0.13061059,0.02353433,0.01953604,0.02105826,0.03197995,0.07975504,0.11321619,0.02394065,0.232292,0.10891017,0.15403176,0.09854584,0.08666957,0.04227076,0.08980604,0.08120575,0.10534289,0.02749091,0.05045462,0.09343786,0.10217873,0.0195743,0.06583227,0.03179222,0.14426814,0.07186346,0.02808233,0.04454476,0.09772789,0.0484804,0.03197165,0.07244652,0.07820228,0.11501824,0.20156505,0.07088237,0.02888038,0.10652925,0.03256271,0.02735048,0.02078536,0.07533173,0.06616471,0.05930963,0.06477336
4.2,0.04497184,0.10704755,0.01889316,0.01233865,0.00573041,0.00817321,0.00340713,0.03590021,0.01921575,0.01504094,0.05622969,0.04472713,0.03595755,0.02938674,0.03120264,0.02015196,0.01874991,0.02610741,0.02568113,0.01711404,0.01266306,0.03104765,0.00728859,0.01566668,0.03501555,0.03893161,0.03574074,0.02701602,0.01871571,0.01066932,0.00677105,0.00301117,0.01370661,0.02817476,0.02183869,0.02407966,0.01494517,0.00868359,0.01139315,0.01024296,0.02852049,0.03127924,0.0030522,0.08154214,0.10372325,0.02800488,0.01288239,0.05057125,0.00767621,0.02842531,0.00446067,0.02711499,0.02330549,0.06064981,0.03533618,0.05690358,0.03405251,0.12345745,0.02114403,0.01682183,0.02020483,0.03100197,0.07114156,0.08941918,0.02107367,0.22244882,0.10334664,0.12621611,0.09092565,0.07389052,0.04054903,0.07390939,0.07751339,0.09577705,0.02682761,0.04837253,0.08128319,0.10131805,0.01792839,0.06647637,0.0272803,0.13450819,0.07577137,0.02304696,0.04120941,0.09522001,0.04466874,0.02897047,0.06124512,0.07671384,0.12833671,0.18604549,0.06569357,0.02690754,0.0823981,0.03478002,0.03087602,0.02308573,0.06571702,0.05347464,0.04955253,0.05744656
4.4,0.04099064,0.09831515,0.01709027,0.01126957,0.00485757,0.00670139,0.00287247,0.02934673,0.01705556,0.01316033,0.04946348,0.03777095,0.03083709,0.02676026,0.02775189,0.01797564,0.01658887,0.02323624,0.02136258,0.01612231,0.0115871,0.02854708,0.00661534,0.01555194,0.02861031,0.03377833,0.03240259,0.02325522,0.01664453,0.00964542,0.00588226,0.002731,0.01349519,0.02717856,0.0192359,0.02095283,0.01353266,0.00785679,0.01031685,0.00846931,0.02226344,0.02990381,0.00253109,0.06520089,0.09746381,0.02646957,0.01106885,0.04327776,0.00676371,0.02534003,0.00387309,0.02632056,0.02159842,0.05520411,0.03215724,0.05318811,0.03002939,0.11316898,0.01851572,0.01457196,0.0186806,0.02884827,0.06848986,0.08923425,0.02089294,0.21446798,0.09038569,0.09028488,0.07653775,0.0698411,0.03521907,0.06712625,0.07025319,0.08246322,0.02821448,0.04728404,0.07327406,0.10192856,0.01843505,0.06545518,0.02403113,0.11449596,0.08861695,0.01708339,0.04111672,0.09291614,0.04221815,0.02552529,0.05939094,0.06834209,0.13334274,0.15144689,0.07022894,0.02539137,0.08134504,0.03448291,0.02793511,0.02156671,0.05432115,0.04590463,0.04342697,0.04929535
4.6,0.03909974,0.09992062,0.01530004,0.01013358,0.00448036,0.00679821,0.00251061,0.02590328,0.01520598,0.01158355,0.04391864,0.03142674,0.02969291,0.02352412,0.0248823,0.01600645,0.01457348,0.01989864,0.01828735,0.01541542,0.00954233,0.02608089,0.00603289,0.01422748,0.02360011,0.027372,0.02882402,0.01980057,0.01478723,0.00863531,0.00503686,0.00251406,0.01255486,0.02641229,0.01787942,0.01789002,0.01184485,0.00714184,0.00918344,0.00741173,0.01864552,0.02849791,0.00204415,0.05339614,0.08774552,0.02520831,0.00990458,0.04129089,0.00620456,0.02133577,0.00340114,0.02581031,0.02015558,0.05041863,0.02906052,0.04820904,0.02618321,0.11149641,0.01651144,0.01273739,0.01764359,0.0261039,0.06335013,0.09518351,0.02129439,0.22717639,0.08448476,0.07815162,0.07673793,0.07224179,0.0351881,0.06197775,0.06331797,0.07101404,0.03197682,0.04666889,0.06637437,0.11532032,0.01776344,0.06339063,0.02015412,0.09697487,0.10031342,0.01554533,0.04174188,0.09933133,0.03939569,0.02216971,0.06000783,0.06903821,0.14211526,0.14562644,0.0729931,0.0242545,0.0857304,0.0342239,0.02482513,0.01913779,0.0471869,0.04147801,0.04098071,0.04301879
4.8,0.03778664,0.10427262,0.01369324,0.00979847,0.00410921,0.00727455,0.00224447,0.02306908,0.01394377,0.01012572,0.03747971,0.02781584,0.02759485,0.02007646,0.02112045,0.01432776,0.01247826,0.01752635,0.01531136,0.01429725,0.00835397,0.02196981,0.00552487,0.01224743,0.01908287,0.02286849,0.02511351,0.01613578,0.01288688,0.00839233,0.00441204,0.00236456,0.01122883,0.02485602,0.01733769,0.014765,0.01015685,0.00668621,0.00800639,0.00685244,0.01694223,0.02610215,0.00177995,0.04490277,0.08153551,0.02353309,0.00963071,0.03835567,0.00557912,0.01699339,0.00301414,0.02505783,0.01996081,0.04681654,0.02611987,0.04292801,0.02260894,0.10760085,0.01478353,0.01124497,0.01770368,0.02597216,0.05820853,0.09968576,0.02128931,0.24610009,0.07969904,0.06804206,0.06749492,0.07338554,0.03666093,0.06238611,0.05436807,0.06443043,0.03644003,0.04586672,0.06747812,0.12426553,0.0191576,0.06405152,0.01828545,0.08702294,0.10749238,0.01501797,0.04316025,0.10920021,0.04007955,0.02076245,0.06209518,0.06977468,0.14755287,0.14883897,0.07292025,0.02464069,0.08902197,0.0327662,0.02128542,0.01730173,0.03994968,0.03968344,0.0402006,0.0378128
5.0,0.03689488,0.10681607,0.0127437,0.00935384,0.00373156,0.00718993,0.00200974,0.02058965,0.01411356,0.00955647,0.02953829,0.02562565,0.02412676,0.01761009,0.01719671,0.01265233,0.01040019,0.01512078,0.01393958,0.01294908,0.00726548,0.01799255,0.00507857,0.01053207,0.0151761,0.01853387,0.02147217,0.01280624,0.01221494,0.0080704,0.0040997,0.00218745,0.01082793,0.02271372,0.01596143,0.0131579,0.00864571,0.00629536,0.00691144,0.00636125,0.01660016,0.02237332,0.00163459,0.03997928,0.07932399,0.02145565,0.00882548,0.03740415,0.00493123,0.01415426,0.00269047,0.02336452,0.02089599,0.04361815,0.02338152,0.03918594,0.01982397,0.10426857,0.01364945,0.0100211,0.01692328,0.02474033,0.05901554,0.10274332,0.02104531,0.24619277,0.08665503,0.06651293,0.05757474,0.07443481,0.03799923,0.06660916,0.04709345,0.06114532,0.03890025,0.04670879,0.07135036,0.12571916,0.02055992,0.06357252,0.0157607,0.07800363,0.11686603,0.01553763,0.04328823,0.12548907,0.03979987,0.02124636,0.06296448,0.07511365,0.14489391,0.14736511,0.07372192,0.02404239,0.09211464,0.02971108,0.0188081,0.01566201,0.0382585,0.04035227,0.03947356,0.03903351
5.5,0.032797,0.0999557,0.0107612,0.00794682,0.00282591,0.00631744,0.0015676,0.01645192,0.01026252,0.00797285,0.01727878,0.01918337,0.01757713,0.01345247,0.01086033,0.00910383,0.00688929,0.0140379,0.01198584,0.01060313,0.00589521,0.01036577,0.00417302,0.00748619,0.01219667,0.01169327,0.0170706,0.0078643,0.00986908,0.00689984,0.00414526,0.00173284,0.01078321,0.01832868,0.01067437,0.01234939,0.00640937,0.00570234,0.00471822,0.00476862,0.0155955,0.01665916,0.00139271,0.03160482,0.06634711,0.01586939,0.00624581,0.02674501,0.00349815,0.00985936,0.00209581,0.01725583,0.0208925,0.03513325,0.01755179,0.03347258,0.01752667,0.08845162,0.01091897,0.00777016,0.01306989,0.02152375,0.05443427,0.09188846,0.0193372,0.21430195,0.08790077,0.06097759,0.05937132,0.06575441,0.03721762,0.06655201,0.03775923,0.05347748,0.03707012,0.0438784,0.07192012,0.11901063,0.01946568,0.05496936,0.01070639,0.05989444,0.14074932,0.01591152,0.04001928,0.10459384,0.0378425,0.02421602,0.05495234,0.07373219,0.13607172,0.13157128,0.06252287,0.02008332,0.08686551,0.02043857,0.01942369,0.01569305,0.04261315,0.04441373,0.03232914,0.0400492
6.0,0.02836557,0.08811326,0.00913149,0.00685694,0.00210327,0.00588756,0.00129792,0.01185118,0.00713809,0.00680161,0.01298943,0.01464741,0.01638788,0.01142857,0.0078706,0.00679801,0.00625052,0.0132948,0.00981846,0.0091873,0.00491097,0.00717324,0.00348967,0.00597577,0.01094041,0.00907939,0.01398211,0.00581393,0.00764557,0.00582975,0.00400947,0.00143203,0.00997598,0.01727736,0.00849576,0.00940446,0.00517053,0.00471191,0.00371842,0.00359207,0.01161797,0.01495212,0.00116527,0.02564464,0.05037619,0.01155207,0.00440575,0.02139798,0.00264587,0.00808401,0.00170349,0.01469591,0.01862999,0.02703058,0.01403162,0.02771556,0.01836694,0.07372467,0.00910594,0.00621626,0.01147038,0.01957439,0.04989541,0.07704426,0.01804849,0.17235856,0.0802147,0.05939435,0.06577215,0.06188659,0.03512298,0.06828832,0.03220872,0.04218744,0.02983204,0.03877819,0.0719181,0.10822511,0.01467492,0.03890281,0.00741365,0.04616371,0.12479234,0.01520758,0.03497217,0.07760578,0.03514899,0.02287968,0.0491383,0.06190156,0.13466209,0.11417259,0.04363079,0.01849251,0.08792145,0.01497995,0.01558621,0.01321591,0.03617194,0.03742336,0.02751963,0.03709229
6.5,0.02404391,0.07561462,0.00764547,0.00627644,0.00170252,0.00477358,0.00108829,0.00931874,0.00541488,0.00560782,0.00999747,0.01298573,0.01426056,0.00943834,0.00607681,0.00512812,0.00537112,0.01051635,0.00786222,0.0078145,0.00413038,0.00540944,0.00296261,0.00495233,0.00975239,0.00666875,0.01119893,0.00467947,0.00556261,0.00469881,0.00338146,0.00124301,0.00874658,0.01594996,0.0060477,0.00697718,0.00431214,0.00355035,0.00282253,0.00295677,0.00899478,0.01164261,0.00100324,0.02049004,0.03743167,0.0089793,0.00343664,0.01874136,0.00218804,0.00687621,0.00141193,0.01268812,0.01647135,0.02176132,0.01178741,0.02439331,0.01653872,0.06808042,0.00797761,0.00507598,0.01148607,0.01742172,0.03873711,0.06222523,0.01428154,0.14677274,0.07358613,0.0691595,0.05949309,0.06116462,0.02952288,0.07234298,0.02686195,0.03562985,0.02353298,0.03097189,0.05817465,0.08706015,0.01161573,0.02680507,0.0053221,0.03752259,0.0744423,0.01422924,0.02903387,0.07804298,0.02884947,0.02057541,0.03760613,0.05109739,0.11146704,0.11141243,0.03229492,0.01582093,0.07323488,0.01442582,0.01580184,0.0142137,0.02958164,0.02956583,0.02386997,0.0294834
7.0,0.02067933,0.06543121,0.00653564,0.0051032,0.0013828,0.00348481,0.00093607,0.00710838,0.00438363,0.00434912,0.008074,0.01116283,0.01158855,0.00761627,0.00470843,0.00488546,0.00405968,0.00873146,0.0062789,0.00662508,0.00333238,0.00462792,0.00254802,0.00398379,0.00836543,0.00523007,0.00897879,0.00412811,0.00428116,0.00383754,0.00249958,0.00108104,0.00818128,0.0139429,0.00455221,0.00490452,0.00397403,0.00248758,0.00225927,0.00249633,0.0077398,0.00995812,0.00092529,0.01827434,0.02853731,0.00750256,0.00289919,0.01640736,0.001808,0.00553915,0.00118693,0.0116079,0.01444899,0.0197706,0.00996801,0.02046558,0.01210309,0.06268236,0.00691199,0.00421832,0.01034718,0.01630649,0.0296031,0.05225967,0.01315348,0.11877862,0.0689788,0.06514036,0.06514543,0.06186525,0.02374033,0.06894097,0.02354029,0.02921741,0.0197496,0.02563188,0.04683279,0.06964187,0.01165866,0.0282377,0.00395256,0.03008035,0.06051605,0.01259207,0.02342877,0.08418315,0.02300158,0.01752532,0.03198908,0.04096811,0.06771287,0.1061807,0.02797455,0.01370943,0.05860048,0.01470075,0.01585584,0.01401043,0.02417248,0.02508819,0.02016059,0.02295497
