
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-29


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1605,1588,1586,1582,1581,1575,1574,1557,1554,1553,1552,1544,1543,1542,1539,1538,1526,1525,1524,1523,1521,1518,1517,1514,1513,1512,1509,1508,1507,1487,1485,1484,1481,1479,1478,1477,1476,1475,1472,1471,1380,1350,1347,1304,1303,1302,1301,1300,1297,1296,1295,1294,1293,1291,1290,1289,1288,1287,1286,1285,1284,1283,1282,1281,1280,1279,1278,1277,1276,1275,1274,1271,1270,1269,1268,1267,1266,1265,1264,1263,1262,1261,1260,1259,1258,1256,1247,1245,1243,1240,1239,1237,1236,1235,1234,1233,1232,1230,1228,1227,1219,1215,1214,1213,1212,1211,1210,1209,1208,1207,1206,1204,1200,1199,1196,1195,1190,1189,1187,1186,1094,1091,1088,1087,1083,1082,1080,1077,1076,1074,1072,1070,1062,1057,1053,1049,1048,1042,1041,1039,1035,1034,1033,1032,1031,1026,1024,1020,1019,1018,1017,1016,1015,1007,1006,1005,1003,1001,999,998,997,996,995,993,992,991,990,989,988,987,985,984,981,978,976,975,974,971,970,968,967,966,965,964,963,962,961,960,959,957,956,954,953,952,951,950,948,945,942,718,705,704,703,701,700,699,698,697,696,695,694,692,691,690,688,683,673,672,671,670,667,666,665,664,663,661,656,655,654,650,649,648,646,645,641,640,639,638,637,636,635,634,633,632,629,628,627,626,625,624,622,621,620,618,617,616,614,613,612,611,608,607,605,604,602,599,598,597,596,594,593,592,591,590,589,546,545,544,543
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
3.2,0.01959912,0.06882735,0.005581,0.00875616,0.04740107,0.02197352,0.0059896,0.01749862,0.01236001,0.00279338,0.02565995,0.00582149,0.02227729,0.00415001,0.00522911,0.00327455,0.01458734,0.01286723,0.00581845,0.00543424,0.00964247,0.01492605,0.02208772,0.01359765,0.01363172,0.03761132,0.03643836,0.00218718,0.00221759,0.00832121,0.00800789,0.01226874,0.01239832,0.01974836,0.01801396,0.01337643,0.00775114,0.00601686,0.00888832,0.01666451,0.01777384,0.00846555,0.00324367,0.01309605,0.00740049,0.02204281,0.01090886,0.00965796,0.0289778,0.01855367,0.00755861,0.02443614,0.00684328,0.005327,0.00102559,0.00145468,0.00256227,0.00676666,0.0077313,0.00632874,0.00515897,0.00866653,0.00255755,0.00849287,0.00770631,0.007863,0.01289039,0.0027622,0.02604859,0.01641826,0.0457488,0.00933734,0.00805057,0.00380053,0.00537696,0.00794294,0.00494823,0.01458532,0.01234442,0.00086625,0.00617712,0.02398803,0.08089852,0.0303823,0.01960526,0.03191106,0.01789559,0.02373544,0.0517475,0.12038887,0.01130904,0.02582687,0.02610436,0.13921903,0.11216623,0.01792218,0.02594392,0.11901001,0.02815928,0.01872849,0.02204099,0.02213399,0.0219067,0.05490135
3.4,0.01744818,0.06040947,0.00503959,0.00710718,0.04144026,0.02016552,0.0052159,0.0154778,0.01020957,0.0023775,0.02274636,0.00515175,0.02074488,0.00414293,0.0047407,0.00289378,0.01248058,0.01059145,0.00536153,0.00425955,0.00787441,0.01435646,0.02010855,0.01395684,0.01388046,0.03376785,0.03344489,0.00193104,0.00192586,0.00720032,0.00734131,0.01129127,0.0109057,0.01713284,0.0196209,0.01200824,0.00753106,0.00580984,0.00792851,0.01356747,0.01496709,0.0073991,0.0029694,0.0104343,0.00694842,0.01934173,0.01046548,0.00846512,0.02458859,0.01694146,0.0064474,0.02247349,0.00588872,0.0043046,0.00094126,0.0011978,0.00223401,0.00584122,0.00651754,0.00529809,0.00423002,0.00767898,0.00207407,0.00749009,0.00635692,0.00727315,0.01137288,0.00223501,0.02460663,0.01311059,0.04029127,0.00809464,0.00725177,0.00327929,0.00456039,0.00700234,0.00409862,0.01215276,0.00788477,0.00073702,0.00469928,0.02012934,0.08630623,0.02685653,0.0168462,0.02557625,0.01756109,0.01989697,0.04992641,0.09755004,0.01107205,0.02682483,0.02690151,0.11901008,0.09779084,0.01861386,0.02218196,0.10441834,0.02368814,0.01604141,0.02127729,0.01804077,0.02036668,0.04855307
3.5,0.01654712,0.05620054,0.00487197,0.00699023,0.03996346,0.0192794,0.00502855,0.01451609,0.00930501,0.00219392,0.02182711,0.00486886,0.01986711,0.00405676,0.0044805,0.00269118,0.01143466,0.00937895,0.0050817,0.00394545,0.00769942,0.0137808,0.02006352,0.01378891,0.01391642,0.03206611,0.03175717,0.00180898,0.00181082,0.00671162,0.00695388,0.01075977,0.01027612,0.01684187,0.02014762,0.01103707,0.0078379,0.00572796,0.0074915,0.01322218,0.01373221,0.00703646,0.00284094,0.00953083,0.00678119,0.01815741,0.01033775,0.00763845,0.02318733,0.01782771,0.00598689,0.02133855,0.00565579,0.00394679,0.00089439,0.00106357,0.00209197,0.0053595,0.00614033,0.00474772,0.00390306,0.00758362,0.00190697,0.0070198,0.00576377,0.00702007,0.01067799,0.00218344,0.02382176,0.01225094,0.03820768,0.00760008,0.00686181,0.00305047,0.004146,0.00647241,0.00375856,0.01131417,0.00676039,0.00066427,0.00448938,0.01894311,0.08182628,0.02437954,0.01576154,0.02240164,0.01754004,0.01986595,0.04956952,0.08832733,0.01167493,0.02521879,0.02678655,0.10928912,0.09252143,0.01933494,0.02028676,0.09764677,0.02312015,0.01509525,0.0205911,0.01647318,0.01998785,0.04625677
3.6,0.01567697,0.0521506,0.00471265,0.00690409,0.0384227,0.01925871,0.00504697,0.01359484,0.0084837,0.00204247,0.02042057,0.00462962,0.01889955,0.00394046,0.00424571,0.00249274,0.01087901,0.00848694,0.00477822,0.00378609,0.00714733,0.0128386,0.01983912,0.01340738,0.01328368,0.03034039,0.03024523,0.00169418,0.00170657,0.00626495,0.0064975,0.01011239,0.00928854,0.01684683,0.02066259,0.00997249,0.00773645,0.00563189,0.00708134,0.0129743,0.01261357,0.00670912,0.00278461,0.00915522,0.00644468,0.01706818,0.00978358,0.00688673,0.02206586,0.01829894,0.00557015,0.02015328,0.00539822,0.00364622,0.00084264,0.00093401,0.00196319,0.00494894,0.00580573,0.00431132,0.00352849,0.00709867,0.00175344,0.00657146,0.00523088,0.00688331,0.01002549,0.00211454,0.02295082,0.01145811,0.03634304,0.00716663,0.00649911,0.00284233,0.00374856,0.00592219,0.00345814,0.01038239,0.0060831,0.00060057,0.00440945,0.01767478,0.07416516,0.02299551,0.0145222,0.0194427,0.01679822,0.01992901,0.04911484,0.080623,0.01252345,0.02287377,0.02583025,0.0997898,0.08771646,0.0199698,0.02085845,0.09130301,0.0237536,0.01445042,0.01976503,0.01438327,0.01913697,0.04541481
3.8,0.01414635,0.04625211,0.00432671,0.00569245,0.03244626,0.01830774,0.00524679,0.01205839,0.0072743,0.00176382,0.01752954,0.00412203,0.01704701,0.00395515,0.00380746,0.00212734,0.01005895,0.00730202,0.00415456,0.00337169,0.00674224,0.01160961,0.01981748,0.01282001,0.01122637,0.02687646,0.02698455,0.00149032,0.00153167,0.00548293,0.00550391,0.00935086,0.00892572,0.01705736,0.02012162,0.00786878,0.00663245,0.00552432,0.00633728,0.01197198,0.01075699,0.00631871,0.00273849,0.00828812,0.00627944,0.01514361,0.00792669,0.00574456,0.02158384,0.01788895,0.00485229,0.0177613,0.00576519,0.00340096,0.00073462,0.00077481,0.00173964,0.00409597,0.00519593,0.0036782,0.00275213,0.0065175,0.00148082,0.00571799,0.00440488,0.00646519,0.00883975,0.00208183,0.02131789,0.01060605,0.03273204,0.0064208,0.00581372,0.00248116,0.00312351,0.00484672,0.00304534,0.00844359,0.00616772,0.0005689,0.0040123,0.01497295,0.06001122,0.0232515,0.01353865,0.01689962,0.01409171,0.01624418,0.04613053,0.06923384,0.01319339,0.01984048,0.02250355,0.08962631,0.07914691,0.01943824,0.02028056,0.08157931,0.02623735,0.01342495,0.01787703,0.01210745,0.01627879,0.04422375
4.0,0.01284332,0.0425422,0.00387735,0.00464195,0.02441684,0.01688079,0.00504689,0.01092223,0.00648982,0.00151315,0.01526088,0.00362907,0.01540606,0.00415793,0.00341297,0.00182061,0.00926959,0.00639852,0.00358098,0.00298411,0.00644812,0.01052553,0.01761012,0.01178825,0.00978156,0.02518979,0.02404391,0.00132116,0.00139195,0.0048277,0.00453,0.00893695,0.00894015,0.01635516,0.01784619,0.00700114,0.00518641,0.00509041,0.00568688,0.01028144,0.00939276,0.00582002,0.00268025,0.00737341,0.00579752,0.01350918,0.00633588,0.00455016,0.02160378,0.01610686,0.00426258,0.0154808,0.00610213,0.00329626,0.00063933,0.00069991,0.00157173,0.00359201,0.00466617,0.00312243,0.0021179,0.00527518,0.00151216,0.00527944,0.00378616,0.00582155,0.00780241,0.0017569,0.02201979,0.00983523,0.02925618,0.00578067,0.00518443,0.00218298,0.00276765,0.0042528,0.00268597,0.00711759,0.00592849,0.00051582,0.00339177,0.01306442,0.04991355,0.02101212,0.0128068,0.01569455,0.01253408,0.01438847,0.0436673,0.0619377,0.01256917,0.01886953,0.01947708,0.08516602,0.0710037,0.01832756,0.02048435,0.07572523,0.02398909,0.01181034,0.01396436,0.01057479,0.01718632,0.04351948
4.2,0.01159371,0.03826522,0.0035127,0.00425947,0.02000246,0.01551753,0.00430739,0.00992036,0.00580142,0.00133279,0.01372123,0.00322048,0.01407098,0.00388333,0.00306872,0.00157518,0.00831101,0.00572152,0.00310385,0.00259439,0.00595839,0.00905883,0.01535834,0.01037069,0.0085975,0.02434692,0.02120737,0.0011826,0.00127345,0.00427694,0.00388883,0.00832541,0.00815792,0.0151437,0.01551782,0.00645008,0.00498112,0.00439602,0.00511941,0.00843881,0.00829837,0.00525289,0.00258558,0.0065059,0.00457988,0.01211212,0.00577926,0.00351822,0.01895738,0.01448743,0.0038314,0.01335478,0.00545223,0.00308329,0.00057145,0.00061636,0.00142726,0.00321498,0.0042128,0.00265088,0.00183268,0.00436618,0.00134511,0.00495117,0.00331928,0.00503818,0.00690049,0.00129687,0.02252755,0.00909373,0.02632074,0.00521406,0.0046168,0.00193558,0.00253739,0.00393365,0.00236545,0.00664756,0.0052798,0.00047145,0.00296767,0.01132569,0.0497068,0.01907412,0.01168171,0.01442056,0.0116833,0.01321637,0.04058816,0.05714108,0.01232483,0.0169747,0.01684172,0.07160741,0.06325097,0.0172572,0.01935656,0.06810721,0.0212299,0.0118281,0.01033002,0.00925592,0.01775167,0.04009495
4.4,0.01045239,0.03525833,0.00309863,0.00375593,0.01838268,0.01399182,0.00378082,0.00903029,0.00519809,0.00118073,0.0125874,0.003036,0.01273147,0.00346914,0.00284248,0.001383,0.00732565,0.00511959,0.00272983,0.00223652,0.00566193,0.00776849,0.01385178,0.00882652,0.00762054,0.02296412,0.01881882,0.0010688,0.00114319,0.00381201,0.00359799,0.00758423,0.00690419,0.01345174,0.01313671,0.00565675,0.00437101,0.00389694,0.00462421,0.00780702,0.00741498,0.0046774,0.00247507,0.00588822,0.0039489,0.01091244,0.00507106,0.00274782,0.01644223,0.01263586,0.00351811,0.01144055,0.00438441,0.00279776,0.00052043,0.00053502,0.00129268,0.00284432,0.00382722,0.00223537,0.00180894,0.00399138,0.00104321,0.00458685,0.00296202,0.00424571,0.0061163,0.00106209,0.02180797,0.0083932,0.02445733,0.00470927,0.00414455,0.00172866,0.00227207,0.00323962,0.00208845,0.00618131,0.00480419,0.00042544,0.00264317,0.01039512,0.05007719,0.01620863,0.00974088,0.01333987,0.01109226,0.01143952,0.03670467,0.05388014,0.01058731,0.01532037,0.01486198,0.06418651,0.05700429,0.01454574,0.01696193,0.06188871,0.02050593,0.01040968,0.00869762,0.0082815,0.01615036,0.03374135
4.6,0.00946443,0.03252062,0.00275442,0.0033082,0.0177699,0.01240987,0.00351643,0.00823698,0.00467005,0.00105278,0.01165388,0.00286632,0.01145555,0.00302272,0.00254014,0.00123281,0.00651145,0.00457943,0.00244372,0.00200443,0.00516764,0.00704026,0.01304557,0.00742764,0.00660471,0.02160148,0.01655214,0.0009742,0.00101618,0.0034175,0.00330821,0.00733443,0.00593081,0.01431181,0.01166091,0.00505588,0.00373367,0.00343709,0.00419083,0.00738078,0.00669352,0.00413901,0.00253124,0.00544028,0.00349177,0.00987638,0.00465536,0.0022165,0.01426736,0.01086958,0.00324976,0.01059085,0.00429772,0.00250256,0.00048053,0.00046351,0.00116899,0.00253177,0.00349764,0.00190473,0.00183928,0.00387679,0.00080902,0.00415663,0.00268212,0.00354489,0.0054364,0.00095076,0.01938903,0.00774247,0.02269313,0.00426144,0.00373806,0.0015541,0.00200366,0.00283939,0.00185561,0.00574354,0.00425414,0.00039333,0.00228367,0.00968961,0.04388607,0.0128656,0.0078012,0.01210666,0.01065244,0.01033991,0.03244989,0.05093477,0.00956861,0.01349368,0.01372516,0.05747717,0.05158706,0.01201486,0.01448733,0.0602227,0.01883504,0.00981821,0.00742187,0.00703197,0.01341608,0.0306983
4.8,0.00856635,0.02964446,0.00247542,0.00288039,0.01726226,0.01099949,0.00366286,0.00752838,0.00420799,0.00094593,0.01053785,0.00253027,0.01021944,0.00272409,0.0023046,0.00111396,0.00564564,0.00409941,0.00222353,0.00183941,0.00503571,0.00631523,0.01223758,0.00627473,0.00606314,0.02009636,0.01429338,0.00089423,0.00091891,0.00308083,0.00302839,0.00719466,0.0053997,0.01201755,0.01020061,0.00476251,0.00298799,0.00285881,0.0038107,0.00694387,0.00609582,0.00365962,0.00261726,0.00502732,0.00341751,0.00897596,0.0042483,0.00189478,0.01342896,0.00921019,0.00301259,0.00978926,0.00405396,0.00223763,0.00045035,0.00040407,0.00105702,0.00231867,0.00323008,0.00174088,0.00179664,0.00395069,0.00068113,0.00387618,0.00245668,0.00298167,0.00484639,0.00093888,0.01690184,0.00714299,0.02104009,0.00386703,0.00335804,0.00140558,0.00175689,0.00257873,0.00166283,0.00535504,0.00373162,0.00035408,0.00277531,0.00929965,0.03560091,0.01098493,0.00701247,0.01066322,0.00960459,0.01077547,0.02814786,0.04815763,0.00883457,0.01112574,0.01205204,0.05263442,0.04652911,0.01029154,0.01366284,0.0571601,0.01682386,0.00932376,0.0061178,0.00680058,0.01066627,0.02746309
5.0,0.00777939,0.02705439,0.00223694,0.00251793,0.01654408,0.00993903,0.0035314,0.00689444,0.00380319,0.00086086,0.0093677,0.00229509,0.00902089,0.00236901,0.00212638,0.0010178,0.00503787,0.0036762,0.00204885,0.00170762,0.0048217,0.00558659,0.01144671,0.00542803,0.00575522,0.0187455,0.0132377,0.00082542,0.00084607,0.0027918,0.00277123,0.00700651,0.00505181,0.01088475,0.00921436,0.0042997,0.00232161,0.00242331,0.00347639,0.00650982,0.00559303,0.00327056,0.00268107,0.00464767,0.00343224,0.00818919,0.00386129,0.00170698,0.01271293,0.00830673,0.00279855,0.00904069,0.00439581,0.00201697,0.00042176,0.00036746,0.00095706,0.00211682,0.00302069,0.00160298,0.00166719,0.00347745,0.00062003,0.00362749,0.00226916,0.00255747,0.00451444,0.0008937,0.01535689,0.00659443,0.01950799,0.00352214,0.00301106,0.0012781,0.00157139,0.00226851,0.00150359,0.00496923,0.00337651,0.00031369,0.00292227,0.00947573,0.02723978,0.00917454,0.0058821,0.00930901,0.00796812,0.0105464,0.02407243,0.04562989,0.00801676,0.00932056,0.01066863,0.04937072,0.04200227,0.00889812,0.01266916,0.05302708,0.01663265,0.00854288,0.0056,0.00622813,0.0087703,0.02350784
5.5,0.00619246,0.02144274,0.00178832,0.00191728,0.01363594,0.0080773,0.00280607,0.00558219,0.00299428,0.00070671,0.0068559,0.00164017,0.00704792,0.00176319,0.00174663,0.00083875,0.00395002,0.00289851,0.00172189,0.00147521,0.00457588,0.00405363,0.0096184,0.00428333,0.00451423,0.01590044,0.01057751,0.00068721,0.0006753,0.00222726,0.0022273,0.00588741,0.00402033,0.01051565,0.00702965,0.00322636,0.00159134,0.0018558,0.00280147,0.00570491,0.00462239,0.00252158,0.00259364,0.00384908,0.00363412,0.00660972,0.00301997,0.00148848,0.01109955,0.00726929,0.002339,0.0078336,0.00457968,0.00162476,0.00034856,0.00030167,0.0007568,0.00169177,0.00254186,0.00132542,0.00129409,0.00291758,0.00049978,0.00311608,0.00190372,0.00194264,0.00417207,0.00061748,0.01072315,0.00545342,0.01617113,0.00284329,0.00235907,0.00102847,0.00124448,0.00183503,0.0012091,0.00408204,0.00312855,0.00023754,0.00200703,0.00738451,0.01790979,0.00625092,0.00409893,0.00652053,0.00519056,0.00992645,0.01704486,0.03958671,0.00545842,0.00696008,0.00858115,0.03914448,0.03348256,0.00563419,0.0096847,0.04081069,0.01497224,0.00833029,0.00445475,0.00428321,0.00699492,0.01626528
6.0,0.00498498,0.01712777,0.00145086,0.0014528,0.01009223,0.00638144,0.00210268,0.00457712,0.00243406,0.00059785,0.00501578,0.00125791,0.00549443,0.00114484,0.00146478,0.00070784,0.0031429,0.0023553,0.00147121,0.00131586,0.00394545,0.00324193,0.00806104,0.0034925,0.00387735,0.01347983,0.00863683,0.00058101,0.0005494,0.00182153,0.00181118,0.00469481,0.00326178,0.00760457,0.00561048,0.00257513,0.00133245,0.00147711,0.00229872,0.00554553,0.00391365,0.00201032,0.00225118,0.00322526,0.00393278,0.00543493,0.00240636,0.00133082,0.00960686,0.00690467,0.00196564,0.00706241,0.00313713,0.00135037,0.00028149,0.00024079,0.00061528,0.00134349,0.00212466,0.00110218,0.00096115,0.00237577,0.0004438,0.0026409,0.00162476,0.00165045,0.00354968,0.0005296,0.00773948,0.00455405,0.01347719,0.00236034,0.00193907,0.00084786,0.0009972,0.00165248,0.00100265,0.00336881,0.00263558,0.0002096,0.00122157,0.00606613,0.0129429,0.00442925,0.00341016,0.00514222,0.00360669,0.01087053,0.01272233,0.03398359,0.00400585,0.00678568,0.00725228,0.03273765,0.02653654,0.00424937,0.00767797,0.02948732,0.01022945,0.00580141,0.00361785,0.00312972,0.00513485,0.01273374
6.5,0.00415787,0.01430344,0.00120865,0.00125662,0.00750352,0.0050706,0.00164258,0.00379989,0.00200189,0.00051501,0.0040244,0.00100152,0.00448921,0.00089658,0.00124097,0.00060311,0.00254646,0.0019517,0.00126348,0.00116827,0.00331946,0.00276085,0.00678004,0.00319256,0.0034478,0.01154858,0.00726728,0.00049618,0.0004829,0.00152011,0.00163029,0.00368025,0.00264123,0.00622269,0.00474057,0.00212292,0.0011364,0.00116643,0.00191672,0.00518334,0.00336516,0.00165432,0.00187763,0.00271968,0.00417232,0.0045394,0.00218425,0.00114399,0.00827532,0.00580363,0.00166339,0.00616457,0.00198226,0.00113043,0.00023372,0.0002037,0.00051872,0.00106436,0.00177465,0.00091927,0.00074209,0.00174123,0.00038321,0.00198387,0.00139835,0.00145286,0.00287758,0.00043119,0.00624872,0.00383881,0.01131711,0.00200542,0.00163139,0.00071252,0.0008189,0.00140136,0.00084369,0.00280206,0.00210471,0.00018133,0.00100975,0.0050989,0.01135192,0.00363383,0.00286139,0.00371794,0.00287627,0.01046341,0.01041951,0.02893084,0.00302749,0.00703227,0.00633919,0.02712587,0.02106291,0.00366948,0.00567393,0.02459221,0.00828428,0.00401534,0.00322645,0.00275727,0.0039145,0.01032021
7.0,0.00352345,0.01204164,0.00103098,0.00103433,0.00549388,0.00402501,0.00147049,0.0031923,0.00167701,0.00044891,0.00333925,0.00081575,0.0039193,0.00080208,0.00105952,0.00051656,0.00210099,0.00165387,0.00108966,0.00102613,0.00271819,0.00239592,0.00574128,0.00278336,0.00283391,0.00990205,0.00587897,0.00042726,0.00041035,0.0012897,0.00162206,0.00305854,0.0021072,0.00663861,0.00414036,0.00182878,0.00099716,0.00092721,0.00162094,0.00452651,0.00292462,0.00140547,0.00152877,0.00231124,0.00419182,0.00384259,0.00199981,0.00094807,0.00713627,0.00474331,0.00141981,0.00520922,0.0013698,0.00095555,0.00019979,0.00017987,0.00044924,0.00084847,0.0014921,0.00077113,0.00064815,0.00134701,0.00032538,0.0016012,0.00121067,0.0012724,0.00227415,0.00034589,0.00546841,0.00326736,0.00958473,0.00173331,0.00139766,0.00060802,0.00069091,0.00116321,0.0007161,0.00237708,0.00179694,0.00016103,0.00090435,0.00421675,0.00968174,0.00291398,0.0023285,0.00265456,0.00225752,0.00941689,0.00845207,0.02449281,0.00235665,0.00813926,0.00529412,0.02193409,0.01801948,0.00329091,0.00441187,0.02072456,0.00661192,0.00339236,0.00269923,0.00246915,0.00314854,0.00862708
7.5,0.00302251,0.01038968,0.00087929,0.00083078,0.00430905,0.00331054,0.00126818,0.00271182,0.00144673,0.00039463,0.00280876,0.00069753,0.00333257,0.00069138,0.00091466,0.00044459,0.00176288,0.00143398,0.00094463,0.0008935,0.00222241,0.00204254,0.00490274,0.00290992,0.00251015,0.00849823,0.00472469,0.00037079,0.00033989,0.00110926,0.00156334,0.0024435,0.00165908,0.00631137,0.00363233,0.0015892,0.00087353,0.00076057,0.00138791,0.00386014,0.00256247,0.00122248,0.0012257,0.0019811,0.00481561,0.00329086,0.00176172,0.00080571,0.00618115,0.00381252,0.00122336,0.00440729,0.00106583,0.00082049,0.0001737,0.00015896,0.00039377,0.00068408,0.00128696,0.00065174,0.00058535,0.0011802,0.00028703,0.0014116,0.0010542,0.00110039,0.00177988,0.00030668,0.00477932,0.00280753,0.00823307,0.0015165,0.00121429,0.00052534,0.00061745,0.00092907,0.00061293,0.00203922,0.00164329,0.00014354,0.00082809,0.00346325,0.00810134,0.00223228,0.00185883,0.00230554,0.00192354,0.00610728,0.00697336,0.02068688,0.00203544,0.00774879,0.00478185,0.01927433,0.01597988,0.00280973,0.00381453,0.01789535,0.00618206,0.00280578,0.0023228,0.0021385,0.00255976,0.00724428
8.0,0.00260502,0.00905511,0.00074943,0.00068135,0.0033543,0.00283241,0.00106672,0.00232781,0.0012615,0.00034928,0.00266008,0.00062017,0.00291138,0.00057735,0.00079472,0.00038483,0.00150926,0.00124583,0.00082382,0.00077447,0.00182888,0.00176955,0.00422371,0.00282346,0.00221761,0.00732939,0.00393743,0.00032424,0.00029279,0.00096506,0.00158644,0.0019444,0.001291,0.00503703,0.00320258,0.00139174,0.00072633,0.00063179,0.00120141,0.0033371,0.00226031,0.00107581,0.00094927,0.00171609,0.00552698,0.00284738,0.00151097,0.00069864,0.0053859,0.00309451,0.00106407,0.00378243,0.000865,0.00071617,0.00015613,0.0001403,0.0003482,0.00056235,0.00111887,0.00055564,0.00052141,0.00103114,0.00025735,0.00140912,0.0009235,0.00094494,0.00153455,0.00026495,0.00418363,0.00243402,0.00708434,0.00133866,0.00106659,0.00045861,0.00055301,0.00078242,0.00052967,0.00176652,0.00129085,0.0001246,0.00073685,0.00284588,0.00695036,0.0019127,0.00149613,0.00203127,0.00171051,0.00428939,0.00584243,0.01748786,0.00176699,0.00580872,0.00418297,0.01753981,0.01418705,0.00214438,0.00372093,0.01538524,0.00572583,0.00221231,0.00192282,0.0018297,0.00215641,0.00610851
8.5,0.00225839,0.00786734,0.00064829,0.00055352,0.00279385,0.00247672,0.00088332,0.00202713,0.00110658,0.00031094,0.00238495,0.00055899,0.00249376,0.00051781,0.00069513,0.00033527,0.00130908,0.00108671,0.00072308,0.00067073,0.00148104,0.00151753,0.00367033,0.00253441,0.00194104,0.00636655,0.00344423,0.00028562,0.00026626,0.00084781,0.00149221,0.00167839,0.00116311,0.00406602,0.00283822,0.00122733,0.00063392,0.00055719,0.00105001,0.00271197,0.00200558,0.00095479,0.00080514,0.0015041,0.00537607,0.00248615,0.00127947,0.00061111,0.0047234,0.00254027,0.00093385,0.00324935,0.00076394,0.0006337,0.00014231,0.00012377,0.00031005,0.00048413,0.00098008,0.00047805,0.0004606,0.00081738,0.00022952,0.00139769,0.00081409,0.00081194,0.00135541,0.00021869,0.00367384,0.0021277,0.00612814,0.00118987,0.00094514,0.00040387,0.00049531,0.00072582,0.00046241,0.00154367,0.00105943,0.00010647,0.00061027,0.00243115,0.00611552,0.00170379,0.00124767,0.00175502,0.00164276,0.00348337,0.00490524,0.014839,0.0015422,0.00477271,0.00353325,0.01517863,0.012727,0.00176351,0.00363728,0.01351809,0.00428842,0.00170483,0.00158402,0.0015606,0.00188388,0.00561607
9.0,0.00194674,0.00674232,0.00056209,0.00044407,0.00232741,0.00217305,0.00073289,0.00177653,0.00097657,0.00027825,0.0025193,0.00051141,0.00216775,0.00050081,0.00061225,0.00029414,0.00114742,0.00095296,0.00063881,0.00058206,0.00120234,0.00133188,0.00321582,0.00222087,0.00168926,0.00557738,0.00304948,0.00025336,0.00024587,0.00075109,0.00137827,0.00146052,0.00102803,0.00301864,0.00252828,0.00108921,0.00057856,0.00049977,0.00092551,0.00228653,0.00178913,0.0008531,0.00067988,0.00132833,0.00443951,0.00218842,0.00108206,0.00053903,0.00416842,0.00211857,0.00082637,0.00279746,0.00067073,0.00056644,0.00013018,0.00010932,0.00027954,0.00042385,0.00086459,0.00041505,0.00040551,0.00069865,0.00020434,0.00132779,0.00072214,0.00070215,0.00119807,0.00018328,0.00323946,0.00187416,0.00536399,0.00106371,0.00084364,0.00035836,0.00044968,0.00066222,0.00040775,0.00135948,0.00090439,9.749e-05,0.00049219,0.0021148,0.00517403,0.00155627,0.00107905,0.00150091,0.00150681,0.00270326,0.00414315,0.01266928,0.00135356,0.003598,0.00294392,0.01269267,0.01144098,0.00149732,0.00332716,0.01190711,0.00320361,0.00153051,0.0013291,0.00132561,0.00166092,0.00456799
9.5,0.0017018,0.00583905,0.00049599,0.00038215,0.00204356,0.00205259,0.00063972,0.00156665,0.00086692,0.00025031,0.00263374,0.0004696,0.00191173,0.00045628,0.00054298,0.00025988,0.00101487,0.00084083,0.00056798,0.00050713,0.00098744,0.00117623,0.0028393,0.00204342,0.00148182,0.00494622,0.00271833,0.00022623,0.00022405,0.00067027,0.00126258,0.00130215,0.00091934,0.00225709,0.00226369,0.00097227,0.00051555,0.00044523,0.00082197,0.00207306,0.00160401,0.0007666,0.00059588,0.00118122,0.00374371,0.00194042,0.0009212,0.00047907,0.00370073,0.00178966,0.00073676,0.00246793,0.00062192,0.00051002,0.00011899,9.682e-05,0.00025404,0.00037348,0.0007678,0.00036349,0.00035713,0.00061195,0.00018203,0.00121714,0.00064447,0.00061311,0.00113003,0.00015289,0.00286935,0.00166249,0.00472862,0.00095576,0.00075772,0.00032011,0.0004079,0.00059844,0.00036594,0.00120573,0.00078334,9.022e-05,0.00040357,0.00185111,0.00432157,0.00142142,0.00095501,0.00129341,0.00123213,0.00213607,0.003597,0.01090069,0.00119467,0.00269748,0.00254198,0.01067473,0.01030925,0.00125904,0.00286687,0.01054235,0.00302061,0.00135899,0.00114197,0.0011289,0.00147641,0.00371535
