
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-29


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 1605,1588,1586,1582,1581,1575,1574,1557,1554,1553,1552,1544,1543,1542,1539,1538,1526,1525,1524,1523,1521,1518,1517,1514,1513,1512,1509,1508,1507,1487,1485,1484,1481,1479,1478,1477,1476,1475,1472,1471,1380,1350,1347,1304,1303,1302,1301,1300,1297,1296,1295,1294,1293,1291,1290,1289,1288,1287,1286,1285,1284,1283,1282,1281,1280,1279,1278,1277,1276,1275,1274,1271,1270,1269,1268,1267,1266,1265,1264,1263,1262,1261,1260,1259,1258,1256,1247,1245,1243,1240,1239,1237,1236,1235,1234,1233,1232,1230,1228,1227,1219,1215,1214,1213,1212,1211,1210,1209,1208,1207,1206,1204,1200,1199,1196,1195,1190,1189,1187,1186,1094,1091,1088,1087,1083,1082,1080,1077,1076,1074,1072,1070,1062,1057,1053,1049,1048,1042,1041,1039,1035,1034,1033,1032,1031,1026,1024,1020,1019,1018,1017,1016,1015,1007,1006,1005,1003,1001,999,998,997,996,995,993,992,991,990,989,988,987,985,984,981,978,976,975,974,971,970,968,967,966,965,964,963,962,961,960,959,957,956,954,953,952,951,950,948,945,942,718,705,704,703,701,700,699,698,697,696,695,694,692,691,690,688,683,673,672,671,670,667,666,665,664,663,661,656,655,654,650,649,648,646,645,641,640,639,638,637,636,635,634,633,632,629,628,627,626,625,624,622,621,620,618,617,616,614,613,612,611,608,607,605,604,602,599,598,597,596,594,593,592,591,590,589,546,545,544,543
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
11, SRSS, 596, -, 1.0, -, 4.3, 11.7, 0.1, "Whittier Narrows-01", 1987, "Beverly Hills - 12520 Mulhol", 5.99, Reverse Oblique, 25.91, 29.9, 545.66, 0.33, 1.0, RSN596_WHITTIER.A_A-MU2032.AT2, RSN596_WHITTIER.A_A-MU2122.AT2 , RSN596_WHITTIER.A_A-MU2-UP.AT2  
12, SRSS, 597, -, 1.0, -, 5.7, 16.1, 0.2, "Whittier Narrows-01", 1987, "Beverly Hills - 14145 Mulhol", 5.99, Reverse Oblique, 29.09, 32.7, 355.81, 0.23, 1.0, RSN597_WHITTIER.A_A-MUL009.AT2, RSN597_WHITTIER.A_A-MUL279.AT2 , RSN597_WHITTIER.A_A-MUL-UP.AT2  
13, SRSS, 598, -, 1.0, -, 4.8, 11.0, 0.2, "Whittier Narrows-01", 1987, "Big Tujunga_ Angeles Nat F", 5.99, Reverse Oblique, 22.5, 28.5, 550.11, 1.0, 1.0, RSN598_WHITTIER.A_A-TUJ262.AT2, RSN598_WHITTIER.A_A-TUJ352.AT2 , RSN598_WHITTIER.A_A-TUJ-UP.AT2  
14, SRSS, 599, -, 1.0, -, 3.6, 9.2, 0.1, "Whittier Narrows-01", 1987, "Brea - S Flower Av", 5.99, Reverse Oblique, 18.39, 23.42, 322.75, 0.2, 1.0, RSN599_WHITTIER.A_A-FLO020.AT2, RSN599_WHITTIER.A_A-FLO290.AT2 ,  -----   
15, SRSS, 602, -, 1.0, -, 3.2, 9.7, 0.4, "Whittier Narrows-01", 1987, "Burbank - N Buena Vista", 5.99, Reverse Oblique, 20.37, 26.34, 320.57, 0.3, 1.0, RSN602_WHITTIER.A_A-BUE250.AT2, RSN602_WHITTIER.A_A-BUE340.AT2 , RSN602_WHITTIER.A_A-BUE-UP.AT2  
16, SRSS, 604, -, 1.0, -, 5.7, 14.5, 0.2, "Whittier Narrows-01", 1987, "Canoga Park - Topanga Can", 5.99, Reverse Oblique, 45.98, 48.96, 267.49, 0.3, 1.0, RSN604_WHITTIER.A_A-CNP106.AT2, RSN604_WHITTIER.A_A-CNP196.AT2 , RSN604_WHITTIER.A_A-CNP-UP.AT2  
17, SRSS, 605, -, 1.0, -, 3.8, 8.9, 0.1, "Whittier Narrows-01", 1987, "Canyon Country - W Lost Cany", 5.99, Reverse Oblique, 44.88, 48.18, 325.6, 0.4, 1.0, RSN605_WHITTIER.A_A-LOS000.AT2, RSN605_WHITTIER.A_A-LOS270.AT2 , RSN605_WHITTIER.A_A-LOS-UP.AT2  
18, SRSS, 607, -, 1.0, -, 11.8, 22.8, 0.0, "Whittier Narrows-01", 1987, "Carson - Catskill Ave", 5.99, Reverse Oblique, 29.85, 33.19, 305.14, 0.2, 1.0, RSN607_WHITTIER.A_A-CAT090.AT2, RSN607_WHITTIER.A_A-CAT180.AT2 , RSN607_WHITTIER.A_A-CAT-UP.AT2  
19, SRSS, 608, -, 1.0, -, 7.3, 15.1, 0.2, "Whittier Narrows-01", 1987, "Carson - Water St", 5.99, Reverse Oblique, 26.3, 30.03, 160.58, 0.22, 1.0, RSN608_WHITTIER.A_A-WAT180.AT2, RSN608_WHITTIER.A_A-WAT270.AT2 , RSN608_WHITTIER.A_A-WAT-UP.AT2  
20, SRSS, 611, -, 1.0, -, 2.1, 8.4, 0.7, "Whittier Narrows-01", 1987, "Compton - Castlegate St", 5.99, Reverse Oblique, 18.32, 23.37, 266.9, 0.3, 1.0, RSN611_WHITTIER.A_A-CAS000.AT2, RSN611_WHITTIER.A_A-CAS270.AT2 , RSN611_WHITTIER.A_A-CAS-UP.AT2  
