,mainshock_aferchock_horizontal1,horizontal_1_filename,dt_sequence_horizontal1,npt_sequence_horizontal1,dt_mainshock_horizontal1,npt_mainshock_horizontal1,dt_aftershock_horizontal1,npt_aftershock_horizontal1,rsn_mainshock_horizontal1,rsn_aftershock_horizontal1,mainshock_aferchock_horizontal2,horizontal_2_filename,dt_sequence_horizontal2,npt_sequence_horizontal2,dt_mainshock_horizontal2,npt_mainshock_horizontal2,dt_aftershock_horizontal2,npt_aftershock_horizontal2,rsn_mainshock_horizontal2,rsn_aftershock_horizontal2
14,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\231.0_245.0_01.g3,231.0_245.0_01.g3,0.005,12798,0.005,5999,0.005,5999,231.0,245.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\231.0_245.0_02.g3,231.0_245.0_02.g3,0.005,12798,0.005,5999,0.005,5999,231.0,245.0
15,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\231.0_250.0_01.g3,231.0_250.0_01.g3,0.005,11998,0.005,5999,0.005,5199,231.0,250.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\231.0_250.0_02.g3,231.0_250.0_02.g3,0.005,11998,0.005,5999,0.005,5199,231.0,250.0
16,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\232.0_235.0_01.g3,232.0_235.0_01.g3,0.005,12798,0.005,5999,0.005,5999,232.0,235.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\232.0_235.0_02.g3,232.0_235.0_02.g3,0.005,12798,0.005,5999,0.005,5999,232.0,235.0
17,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\285.0_296.0_01.g3,285.0_296.0_01.g3,0.002,34925,0.0029,12712,0.002,14493,285.0,296.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\285.0_296.0_02.g3,285.0_296.0_02.g3,0.002,34920,0.0029,12712,0.002,14488,285.0,296.0
18,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\286.0_297.0_01.g3,286.0_297.0_01.g3,0.002,34125,0.0029,13192,0.002,12997,286.0,297.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\286.0_297.0_02.g3,286.0_297.0_02.g3,0.002,34125,0.0029,13192,0.002,12997,286.0,297.0
19,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\289.0_300.0_01.g3,289.0_300.0_01.g3,0.002,40232,0.0024,14672,0.002,20626,289.0,300.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\289.0_300.0_02.g3,289.0_300.0_02.g3,0.002,40232,0.0024,14672,0.002,20626,289.0,300.0
20,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\290.0_301.0_01.g3,290.0_301.0_01.g3,0.002,36062,0.0029,14712,0.002,12730,290.0,301.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\290.0_301.0_02.g3,290.0_301.0_02.g3,0.002,36062,0.0029,14712,0.002,12730,290.0,301.0
21,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\291.0_302.0_01.g3,291.0_302.0_01.g3,0.002,36586,0.0029,12816,0.002,16003,291.0,302.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\291.0_302.0_02.g3,291.0_302.0_02.g3,0.002,36586,0.0029,12816,0.002,16003,291.0,302.0
22,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\292.0_303.0_01.g3,292.0_303.0_01.g3,0.002,34278,0.0024,16392,0.002,12608,292.0,303.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\292.0_303.0_02.g3,292.0_303.0_02.g3,0.002,34278,0.0024,16392,0.002,12608,292.0,303.0
23,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\368.0_383.0_01.g3,368.0_383.0_01.g3,0.005,14398,0.005,11631,0.005,1967,368.0,383.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\368.0_383.0_02.g3,368.0_383.0_02.g3,0.005,14402,0.005,11631,0.005,1971,368.0,383.0
24,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\368.0_412.0_01.g3,368.0_412.0_01.g3,0.005,16778,0.005,11631,0.005,4347,368.0,412.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\368.0_412.0_02.g3,368.0_412.0_02.g3,0.005,16784,0.005,11631,0.005,4353,368.0,412.0
25,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\543.0_548.0_01.g3,543.0_548.0_01.g3,0.005,16793,0.005,7994,0.005,7999,543.0,548.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\543.0_548.0_02.g3,543.0_548.0_02.g3,0.005,16792,0.005,7993,0.005,7999,543.0,548.0
26,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\543.0_246.0_01.g3,543.0_246.0_01.g3,0.005,13993,0.005,7994,0.005,5199,543.0,246.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\543.0_246.0_02.g3,543.0_246.0_02.g3,0.005,13992,0.005,7993,0.005,5199,543.0,246.0
27,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\544.0_549.0_01.g3,544.0_549.0_01.g3,0.005,16783,0.005,7984,0.005,7999,544.0,549.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\544.0_549.0_02.g3,544.0_549.0_02.g3,0.005,16783,0.005,7984,0.005,7999,544.0,549.0
28,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\544.0_559.0_01.g3,544.0_559.0_01.g3,0.005,16765,0.005,7984,0.005,7981,544.0,559.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\544.0_559.0_02.g3,544.0_559.0_02.g3,0.005,16766,0.005,7984,0.005,7982,544.0,559.0
29,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\544.0_562.0_01.g3,544.0_562.0_01.g3,0.005,16765,0.005,7984,0.005,7981,544.0,562.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\544.0_562.0_02.g3,544.0_562.0_02.g3,0.005,16765,0.005,7984,0.005,7981,544.0,562.0
30,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\545.0_550.0_01.g3,545.0_550.0_01.g3,0.005,16785,0.005,7986,0.005,7999,545.0,550.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\545.0_550.0_02.g3,545.0_550.0_02.g3,0.005,16786,0.005,7987,0.005,7999,545.0,550.0
31,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\545.0_560.0_01.g3,545.0_560.0_01.g3,0.005,16747,0.005,7986,0.005,7961,545.0,560.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\545.0_560.0_02.g3,545.0_560.0_02.g3,0.005,16749,0.005,7987,0.005,7962,545.0,560.0
32,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\545.0_247.0_01.g3,545.0_247.0_01.g3,0.005,13985,0.005,7986,0.005,5199,545.0,247.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\545.0_247.0_02.g3,545.0_247.0_02.g3,0.005,13986,0.005,7987,0.005,5199,545.0,247.0
33,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\546.0_552.0_01.g3,546.0_552.0_01.g3,0.005,16798,0.005,7999,0.005,7999,546.0,552.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\546.0_552.0_02.g3,546.0_552.0_02.g3,0.005,16798,0.005,7999,0.005,7999,546.0,552.0
34,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\547.0_558.0_01.g3,547.0_558.0_01.g3,0.005,16772,0.005,7973,0.005,7999,547.0,558.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\547.0_558.0_02.g3,547.0_558.0_02.g3,0.005,16772,0.005,7973,0.005,7999,547.0,558.0
35,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\547.0_561.0_01.g3,547.0_561.0_01.g3,0.005,16740,0.005,7973,0.005,7967,547.0,561.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\547.0_561.0_02.g3,547.0_561.0_02.g3,0.005,16739,0.005,7973,0.005,7966,547.0,561.0
36,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\547.0_563.0_01.g3,547.0_563.0_01.g3,0.005,16746,0.005,7973,0.005,7973,547.0,563.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\547.0_563.0_02.g3,547.0_563.0_02.g3,0.005,16746,0.005,7973,0.005,7973,547.0,563.0
37,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\589.0_707.0_01.g3,589.0_707.0_01.g3,0.005,13197,0.005,7998,0.005,4399,589.0,707.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\589.0_707.0_02.g3,589.0_707.0_02.g3,0.005,13198,0.005,7999,0.005,4399,589.0,707.0
38,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\590.0_708.0_01.g3,590.0_708.0_01.g3,0.005,13198,0.005,7999,0.005,4399,590.0,708.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\590.0_708.0_02.g3,590.0_708.0_02.g3,0.005,13198,0.005,7999,0.005,4399,590.0,708.0
39,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\592.0_3685.0_01.g3,592.0_3685.0_01.g3,0.005,12157,0.005,6978,0.005,4379,592.0,3685.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\592.0_3685.0_02.g3,592.0_3685.0_02.g3,0.005,12156,0.005,6977,0.005,4379,592.0,3685.0
40,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\593.0_1693.0_01.g3,593.0_1693.0_01.g3,0.005,12799,0.005,7999,0.02,1000,593.0,1693.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\593.0_1693.0_02.g3,593.0_1693.0_02.g3,0.005,12799,0.005,7999,0.02,1000,593.0,1693.0
41,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\594.0_3686.0_01.g3,594.0_3686.0_01.g3,0.005,9114,0.005,5112,0.005,3202,594.0,3686.0,Q:\My Drive\PhD Program\Research\Thesis\Analysis Methods\Groundmotions\Sequences\594.0_3686.0_02.g3,594.0_3686.0_02.g3,0.005,9117,0.005,5115,0.005,3202,594.0,3686.0
