mainshock_rsn,number_of_aftershocks,aftershock_1_rsn,aftershock_2_rsn,aftershock_3_rsn,aftershock_4_rsn,aftershock_5_rsn,aftershock_6_rsn
1545,2,2654,3502,,,,
1546,4,2420,2655,2893,3503,,
1547,3,2656,3215,3504,,,
1549,4,2423,2658,3217,3507,,
1550,1,3219,,,,,
1551,4,2661,2897,3220,3509,,
1552,1,3511,,,,,
1553,4,2663,2899,3222,3512,,
1554,2,2900,3513,,,,
1581,1,3245,,,,,
1586,1,2928,,,,,
1605,1,1158,,,,,
